heart_rate,spo2,label
87.0,99.52,Normal
69.0,95.55,Normal
96.0,96.37,Normal
56.3,98.45,Warning
52.3,95.01,Warning
60.0,96.78,Normal
58.8,96.36,Warning
60.0,96.2,Normal
75.4,75.29,Danger
96.1,76.82,Danger
75.0,96.96,Normal
125.1,99.6,Danger
78.0,97.92,Normal
64.0,98.09,Normal
82.0,97.69,Normal
175.2,89.85,Danger
114.3,98.66,Warning
111.7,97.38,Warning
121.3,76.09,Danger
58.4,98.61,Warning
57.7,98.73,Warning
68.0,98.9,Normal
55.0,96.03,Warning
67.3,92.57,Warning
66.0,97.24,Normal
45.3,84.11,Danger
77.4,86.23,Danger
96.0,99.28,Normal
64.0,96.79,Normal
62.0,96.12,Normal
67.8,92.41,Warning
38.7,81.24,Danger
82.0,99.05,Normal
26.9,89.84,Danger
94.0,97.71,Normal
102.1,97.78,Warning
118.6,98.02,Warning
159.3,85.54,Danger
60.0,99.29,Normal
127.9,99.8,Danger
63.0,95.32,Normal
44.2,85.85,Danger
69.0,97.22,Normal
51.4,99.28,Warning
92.0,98.77,Normal
83.3,89.62,Danger
156.8,91.66,Danger
84.0,99.7,Normal
55.8,97.73,Warning
92.0,97.53,Normal
116.1,95.32,Warning
52.0,98.87,Warning
108.0,99.52,Warning
94.0,97.97,Normal
150.1,86.64,Danger
99.0,99.44,Normal
51.4,97.96,Warning
95.0,98.82,Normal
85.0,98.36,Normal
95.0,98.99,Normal
84.0,97.95,Normal
87.0,95.12,Normal
74.2,91.09,Warning
109.2,82.36,Danger
36.8,95.42,Danger
79.0,96.16,Normal
95.0,97.8,Normal
115.3,95.23,Warning
95.8,80.28,Danger
67.0,98.2,Normal
72.8,94.48,Warning
94.0,98.72,Normal
95.3,91.25,Warning
117.1,83.34,Danger
81.0,95.03,Normal
92.0,96.29,Normal
97.4,90.79,Warning
106.5,99.32,Warning
72.8,94.47,Warning
99.4,94.36,Warning
67.0,99.21,Normal
64.0,98.33,Normal
55.5,96.34,Warning
126.0,84.87,Danger
55.4,98.12,Warning
94.5,90.51,Warning
80.0,96.97,Normal
52.0,95.98,Warning
93.7,91.99,Warning
45.9,96.32,Danger
80.0,97.84,Normal
52.5,98.05,Warning
129.2,70.1,Danger
158.7,86.12,Danger
85.1,94.41,Warning
89.3,90.64,Warning
95.0,98.27,Normal
99.0,99.15,Normal
41.3,86.67,Danger
89.4,92.97,Warning
85.0,98.94,Normal
147.4,93.6,Danger
54.2,97.34,Warning
76.8,91.02,Warning
90.0,95.24,Normal
21.3,99.59,Danger
73.0,99.49,Normal
114.2,95.1,Warning
87.0,97.61,Normal
174.6,93.35,Danger
101.5,96.01,Warning
171.0,99.56,Danger
31.3,98.13,Danger
67.9,77.64,Danger
98.7,86.94,Danger
61.6,90.52,Warning
58.1,97.38,Warning
116.8,84.15,Danger
80.0,97.6,Normal
113.5,99.65,Warning
54.3,95.85,Warning
96.5,93.82,Warning
61.4,92.19,Warning
73.0,99.93,Normal
94.0,98.53,Normal
36.8,83.72,Danger
114.1,99.86,Warning
105.2,83.71,Danger
69.8,72.63,Danger
92.0,96.88,Normal
174.5,82.11,Danger
69.0,95.13,Normal
84.0,99.78,Normal
44.9,94.03,Danger
82.0,97.97,Normal
87.0,97.29,Normal
35.5,99.33,Danger
87.0,97.66,Normal
53.9,97.13,Warning
115.0,99.39,Warning
144.4,87.92,Danger
110.9,95.83,Warning
91.0,99.54,Normal
117.7,89.44,Danger
64.2,93.12,Warning
117.5,96.69,Warning
65.0,90.02,Warning
116.6,95.15,Warning
72.0,96.71,Normal
99.0,99.85,Normal
99.0,96.87,Normal
93.0,99.95,Normal
21.0,91.03,Danger
75.2,78.17,Danger
53.8,96.69,Warning
108.6,95.32,Warning
62.0,98.34,Normal
133.3,85.99,Danger
53.9,98.08,Warning
99.5,94.64,Warning
117.9,95.05,Warning
91.0,97.77,Normal
45.7,89.22,Danger
111.3,95.64,Warning
52.7,97.18,Warning
87.0,99.9,Normal
178.9,90.21,Danger
106.8,86.25,Danger
41.4,82.97,Danger
79.0,97.15,Normal
83.0,98.3,Normal
85.0,99.8,Normal
80.8,93.41,Warning
110.4,95.42,Warning
27.0,89.35,Danger
90.0,99.83,Normal
89.7,77.01,Danger
86.0,97.45,Normal
77.0,98.46,Normal
66.0,95.76,Normal
55.9,98.61,Warning
110.7,96.88,Warning
103.9,97.86,Warning
82.0,95.96,Normal
157.8,89.23,Danger
30.4,82.47,Danger
77.0,95.17,Normal
97.0,98.15,Normal
83.8,90.68,Warning
65.1,94.26,Warning
101.9,98.3,Warning
58.0,96.41,Warning
85.6,92.18,Warning
93.0,95.63,Normal
42.6,87.06,Danger
57.4,99.38,Warning
151.3,85.01,Danger
76.0,99.28,Normal
62.6,90.41,Warning
72.9,94.18,Warning
99.0,96.75,Normal
82.0,99.03,Normal
105.1,97.43,Warning
67.0,97.3,Normal
83.0,98.21,Normal
133.7,86.11,Danger
155.0,94.34,Danger
79.0,97.7,Normal
84.0,93.02,Warning
105.8,96.16,Warning
27.6,95.77,Danger
72.0,96.95,Normal
93.0,98.74,Normal
114.4,72.33,Danger
97.0,95.46,Normal
99.5,90.81,Warning
94.6,76.83,Danger
129.7,82.34,Danger
117.9,95.67,Warning
137.4,83.07,Danger
30.9,89.87,Danger
73.2,92.1,Warning
64.0,98.08,Normal
100.2,71.32,Danger
88.0,96.67,Normal
82.0,99.5,Normal
86.9,73.93,Danger
48.3,91.61,Danger
129.3,92.64,Danger
50.4,76.02,Danger
107.0,95.22,Warning
97.3,94.77,Warning
80.0,95.27,Normal
104.2,98.99,Warning
74.0,91.66,Warning
97.0,96.01,Normal
56.0,95.94,Warning
77.4,92.27,Warning
103.2,95.46,Warning
28.0,83.91,Danger
87.0,97.19,Normal
30.7,92.26,Danger
154.3,83.06,Danger
75.0,97.79,Normal
103.1,97.56,Warning
42.9,88.02,Danger
83.2,73.12,Danger
106.4,70.19,Danger
36.4,83.89,Danger
115.6,96.08,Warning
73.5,78.47,Danger
77.0,98.58,Normal
77.0,95.08,Normal
25.2,97.18,Danger
21.6,93.35,Danger
58.3,72.15,Danger
125.2,80.97,Danger
173.8,90.32,Danger
165.3,89.37,Danger
81.0,95.52,Normal
116.0,95.42,Warning
51.4,97.48,Warning
55.3,98.93,Warning
68.0,98.2,Normal
53.3,97.01,Warning
68.0,99.43,Normal
67.5,75.53,Danger
44.0,88.9,Danger
86.8,93.04,Warning
137.9,86.4,Danger
76.2,94.55,Warning
68.0,97.22,Normal
109.4,97.74,Warning
118.2,99.85,Warning
88.0,90.56,Warning
33.3,91.27,Danger
104.2,87.78,Danger
99.0,95.99,Normal
139.1,99.54,Danger
94.3,93.15,Warning
43.8,94.8,Danger
73.0,97.08,Normal
52.8,72.48,Danger
85.9,70.16,Danger
39.7,88.73,Danger
58.8,95.86,Warning
77.0,99.14,Normal
52.9,97.3,Warning
54.9,96.04,Warning
32.0,80.56,Danger
22.6,91.8,Danger
35.0,91.35,Danger
71.0,96.88,Normal
101.8,82.24,Danger
44.2,98.65,Danger
98.8,90.73,Warning
88.0,98.02,Normal
52.9,95.37,Warning
69.0,98.14,Normal
102.5,96.7,Warning
81.1,91.59,Warning
88.0,97.87,Normal
55.9,96.49,Warning
108.4,99.26,Warning
95.0,98.1,Normal
98.0,99.03,Normal
62.0,96.78,Normal
68.0,97.76,Normal
142.6,93.11,Danger
87.0,99.8,Normal
71.4,81.83,Danger
56.1,95.41,Warning
57.3,95.89,Warning
51.1,97.38,Warning
47.7,84.47,Danger
52.5,85.77,Danger
147.5,80.94,Danger
80.7,91.43,Warning
175.9,91.59,Danger
170.1,98.07,Danger
63.0,96.51,Normal
91.0,98.62,Normal
78.0,98.35,Normal
68.0,98.04,Normal
85.4,71.16,Danger
95.0,95.33,Normal
106.2,70.86,Danger
102.8,98.98,Warning
69.0,98.68,Normal
52.0,98.27,Warning
176.4,89.72,Danger
43.3,97.14,Danger
33.9,88.26,Danger
83.0,96.05,Normal
27.1,82.29,Danger
174.4,93.84,Danger
143.7,90.23,Danger
58.1,99.54,Warning
55.0,95.94,Warning
96.8,90.57,Warning
72.7,93.3,Warning
160.1,88.46,Danger
107.9,95.76,Warning
46.3,94.88,Danger
99.0,99.84,Normal
125.3,86.92,Danger
117.7,74.22,Danger
76.0,98.07,Normal
179.4,94.23,Danger
74.2,92.06,Warning
55.7,95.56,Warning
116.4,99.73,Warning
97.6,93.81,Warning
63.0,96.51,Normal
106.3,97.74,Warning
108.4,97.01,Warning
53.9,97.4,Warning
51.6,98.66,Warning
62.4,92.82,Warning
52.2,98.21,Warning
103.7,97.43,Warning
55.2,97.22,Warning
107.7,99.62,Warning
88.4,93.74,Warning
178.3,92.74,Danger
64.0,95.78,Normal
63.1,90.29,Warning
64.0,96.82,Normal
27.0,82.05,Danger
64.0,98.41,Normal
60.1,91.98,Warning
136.7,96.37,Danger
57.8,95.91,Warning
118.6,85.93,Danger
68.0,98.37,Normal
62.0,97.27,Normal
104.3,98.67,Warning
84.0,98.62,Normal
42.5,92.36,Danger
88.0,96.64,Normal
96.7,87.88,Danger
98.8,75.43,Danger
161.2,93.36,Danger
28.6,84.23,Danger
85.0,97.46,Normal
92.0,96.69,Normal
74.6,90.8,Warning
157.3,82.12,Danger
65.0,97.99,Normal
103.9,96.17,Warning
26.3,86.46,Danger
83.0,92.21,Warning
137.8,88.78,Danger
62.0,93.44,Warning
97.4,79.87,Danger
153.4,83.31,Danger
58.2,96.27,Warning
135.3,91.31,Danger
63.0,96.94,Normal
145.5,94.5,Danger
20.2,91.46,Danger
83.2,86.11,Danger
126.9,75.24,Danger
72.0,97.87,Normal
94.0,95.45,Normal
53.1,97.95,Warning
53.2,95.32,Warning
66.7,93.46,Warning
74.0,95.62,Normal
54.2,99.82,Warning
28.3,90.29,Danger
166.1,88.03,Danger
142.5,82.88,Danger
34.8,98.5,Danger
34.6,96.28,Danger
24.4,94.73,Danger
52.7,80.88,Danger
56.4,95.7,Warning
98.0,95.19,Normal
111.4,85.66,Danger
70.0,96.49,Normal
40.3,89.28,Danger
90.6,92.99,Warning
165.9,81.91,Danger
63.0,96.46,Normal
52.9,82.75,Danger
102.2,95.33,Warning
106.7,96.76,Warning
98.0,99.26,Normal
51.6,95.02,Warning
96.6,84.61,Danger
61.1,79.34,Danger
77.0,99.77,Normal
96.2,94.49,Warning
70.0,99.22,Normal
74.2,93.97,Warning
124.3,76.68,Danger
52.1,98.98,Warning
56.4,95.36,Warning
90.8,78.85,Danger
77.0,95.0,Normal
72.0,98.97,Normal
101.0,71.04,Danger
56.8,96.12,Warning
57.6,96.05,Warning
177.3,95.8,Danger
95.1,91.04,Warning
67.0,99.77,Normal
87.0,97.0,Normal
120.6,72.12,Danger
96.9,90.1,Warning
123.0,95.8,Danger
172.1,85.24,Danger
84.4,91.26,Warning
84.0,96.44,Normal
160.4,89.39,Danger
71.0,85.33,Danger
132.8,98.88,Danger
70.0,95.56,Normal
78.0,95.85,Normal
67.6,76.77,Danger
69.0,99.15,Normal
80.0,99.69,Normal
147.8,90.82,Danger
114.5,96.42,Warning
87.7,83.58,Danger
93.5,92.89,Warning
107.1,98.9,Warning
65.7,92.46,Warning
115.2,96.49,Warning
84.0,95.31,Normal
81.2,93.19,Warning
102.6,97.76,Warning
84.0,99.46,Normal
43.3,84.61,Danger
56.1,77.78,Danger
85.7,94.09,Warning
57.0,96.38,Warning
171.8,91.42,Danger
139.1,88.81,Danger
71.4,90.34,Warning
85.7,75.92,Danger
172.1,85.21,Danger
98.0,96.57,Normal
83.1,91.42,Warning
51.2,97.31,Warning
53.2,97.24,Warning
108.4,80.78,Danger
53.1,98.49,Warning
82.0,95.08,Normal
107.7,87.34,Danger
67.0,98.33,Normal
177.1,82.53,Danger
70.0,97.94,Normal
150.7,83.41,Danger
106.6,95.51,Warning
57.3,95.09,Warning
88.6,91.61,Warning
53.1,99.46,Warning
121.7,82.97,Danger
90.2,94.63,Warning
94.7,90.31,Warning
112.8,96.13,Warning
79.0,99.28,Normal
66.6,88.78,Danger
105.2,97.53,Warning
56.8,98.1,Warning
66.0,95.26,Normal
80.0,95.36,Normal
153.0,83.79,Danger
102.0,96.27,Warning
143.4,99.77,Danger
